# dt = 0.0001	 dx = 0.05	 Tfinal = 1.5
# numpts = 600	 Focus = 1
13.2	-0.0016848
13.25	-0.00181051
13.3	-0.00193168
13.35	-0.00204801
13.4	-0.00215921
13.45	-0.00226499
13.5	-0.0023651
13.55	-0.00245928
13.6	-0.0025473
13.65	-0.00262894
13.7	-0.00270398
13.75	-0.00277226
13.8	-0.00283358
13.85	-0.0028878
13.9	-0.00293479
13.95	-0.00297442
14	-0.0030066
14.05	-0.00303125
14.1	-0.0030483
14.15	-0.00305771
14.2	-0.00305946
14.25	-0.00305354
14.3	-0.00303998
14.35	-0.00301879
14.4	-0.00299004
14.45	-0.0029538
14.5	-0.00291016
14.55	-0.00285922
14.6	-0.00280113
14.65	-0.00273601
14.7	-0.00266404
14.75	-0.00258539
14.8	-0.00250027
14.85	-0.00240888
14.9	-0.00231145
14.95	-0.00220824
